"texto","paragrafo"
"paragrafo1","porto de santos e um porto estuarino localizado nos municipios de santos guaruja e cubatao no estado de sao paulo e o principal porto brasileiro o maior complexo portuario da america latina e um dos maiores do mundo possui uma grande variedade de terminais de carga para diversos produtos que realizam a movimentacao de graneis solidos principalmente de origem vegetal liquidos conteineres carga geral e passageiros"
"paragrafo2","a area de influencia economica do porto concentra aproximadamente 67 do produto interno bruto pib do pais e abrange principalmente os estados de sao paulo minas gerais goias mato grosso e mato grosso do sul aproximadamente 60 do comercio internacional do estado de sao paulo em valores sao embarcados ou desembarcados atraves do porto de santos"
"paragrafo3","o complexo portuario de santos responde historicamente por mais de 25 ou um quarto da movimentacao da balanca comercial brasileira e e o maior porto exportador de acucar suco de laranja e cafe em graos do mundo outras cargas de importancia sao a soja cargas conteinerizadas milho trigo sal papel automoveis alcool e outros graneis liquidos"
"paragrafo4","em 2016 foi considerado o 39 maior porto do mundo por movimentacao de conteineres e 35 por tonelagem segundo ranking da associacao americana de autoridades portuarias aapa sendo o mais movimentado da america latina"
"paragrafo7","as operacoes de carga na regiao de santos e sao vicente remontam ao principio do seculo xvi ocorrendo de forma primitiva com a utilizacao de trapiches por meio dos quais a mao de obra humana ou animal transportava as mercadorias aos navios ou a barcos intermediarios a movimentacao de cargas neste periodo era explorada de forma independente por diversos agentes"
"paragrafo8","a partir de 1870 a coroa passou a buscar alternativas de expansao do setor portuario para a crescente oferta de exportacao da producao cafeeira em 1886 foi iniciado o processo de concessao do porto de santos que envolvia os direitos de exploracao da movimentacao portuaria por 90 anos com a contrapartida de realizacao de obras de investimento em infraestrutura operacao e saneamento os vencedores da concessao foram o grupo liderado por eduardo guinle e candido gaffree entao comerciantes no rio de janeiro que para tanto administraram o porto de santos com a gaffree guinle e cia depois renomeada empresa de melhoramentos do porto de santos e finalmente com o nome ficou amplamente conhecida companhia docas de santos cds"
"paragrafo9","o porto foi explorado desenvolvido e ampliado pela cds sob a gestao da entao concessionaria companhia docas de santos entre 7 de novembro de 1890 e 8 de novembro de 1980 em 2 de fevereiro de 1892 o porto abriu suas portas ao comercio exterior como porto organizado com limites legalmente determinados infraestrutura de 260 metros de cais construido e area especifica para armazenagem a primeira embarcacao a atracar no novo porto foi o vapor britanico nasmith francisco de paula ribeiro foi o superintendente da companhia docas de santos entre os anos de 1888 e 1902 supervisionando e administrando a construcao dessa infraestrutura"
"paragrafo10","no inicio do seculo xix santos foi um dos principais portos brasileiros para o desembarque de imigrantes que afluiam principalmente da italia e do japao porem a infraestrutura da cidade e suas atividades economicas nao comportavam o acolhimento destes individuos que rapidamente se distribuiam para o interior do estado nesta epoca santos era conhecido como o porto da morte em virtude das diversas epidemias de doencas tropicais que acometiam periodicamente a populacao acirradas pela falta de saneamento basico e condicoes precarias de moradia e higiene da populacao bem como pela natureza alagadica da cidade este cenario alterou se somente com as obras sanitarias realizadas por saturnino de britto a mando do entao secretario do interior do estado vicente de carvalho que criou os canais de drenagem que sao hoje marcos da paisagem urbana santista em 1897 santos teve a primeira greve organizada do pais deflagrada por um acidente em um navio"
"paragrafo11","com o passar dos anos a estrutura foi ampliada e desenvolvida de acordo com os investimentos realizados pela cds que chegou a empregar 15 000 funcionarios alem das diversas estruturas de terminais e dos predios administrativos a cds executou diversas obras de engenharia de destaque para a epoca seja por sua dimensao ou por sua complexidade sao particularmente notaveis o aterramento de paqueta outeirinhos e a construcao da usina hidreletrica de itatinga ambas sob a direcao do engenheiro guilherme benjamin weinschenck"
"paragrafo12","a area de paqueta outeirinhos na margem direita santos entre os atuais armazens 12 e 23 que era originalmente um golfo foi aterrada para criar uma estrutura linear de cais que permitisse a atracacao de navios de maior profundidade bem como uma retroarea de armazenamento para este aterramento foi criada uma linha ferrea especial para transportar as pedras da pedreira do bairro jabaquara em uma das pontas das areas aterradas foram construidos predios para a administracao portuaria que hoje compoem a sede oficial da administracao do porto a construcao da usina hidreletrica de itatinga concluida em 1910 as margens da serra do mar foi outra obra de destaque a epoca itatinga era uma das mais importantes hidreletricas do pais em uma epoca em que poucos tinham acesso a rede eletrica eletricidade gerada por ela foi utilizada inclusive na construcao da usina hidreletrica de henry borden em cubatao por conta da localizacao da usina isolada no meio da mata atlantica a 7 km de bertioga foi construida uma vila de apoio para a residencia de funcionarios que trabalham em sua manutencao e operacao na qual chegaram a residir 70 familias simultaneamente mesmo sendo o efetivo de pessoal atual muito menor ainda hoje a usina fornece eletricidade para a operacao do porto e para suas instalacoes administrativas embora modernizada parte de sua estrutura como as turbinas por exemplo sao parte do equipamento original em continua operacao ha mais de cem anos"
"paragrafo14","apos o vencimento da concessao em outubro de 1980 a administracao do porto e seu acervo voltaram ao dominio do governo federal mais especificamente a entao companhia docas do estado de sao paulo codesp sociedade de economia mista que ate marco de 1990 permaneceu sob controle da empresa de portos do brasil s a portobras"
"paragrafo15","a codesp operou o porto em regime de monopolio ate a promulgacao da lei 8 630 93 que instituiu o ambiente concorrencial por meio do arrendamento das areas portuarias para terminais passando os portos federais brasileiros a operar por meio de um sistema conhecido como landlord port com a instituicao deste sistema a codesp e consequentemente o governo federal passou a exercer apenas a funcao administrativa do complexo portuario conhecida como autoridade portuaria passando a operacao as maos de terminais portuarios privados este conjunto de areas primarias operacionais e secundarias administrativas passa a configurar o porto organizado area sob a jurisdicao da autoridade portuaria com a instituicao da lei a mao de obra operacional da codesp foi transferida para o orgao gestor de mao de obra ogmo e a codesp passou a contar com um efetivo de aproximadamente 1 500 funcionarios distribuidos em funcoes administrativas de fiscalizacao e de guarda portuaria a legislacao foi atualizada quando da promulgacao da lei 12 815 2013"
"paragrafo16","em 15 12 2010 o porto de santos recebeu da comissao nacional de seguranca publica de portos terminais e vias navegaveis conportos o certificado internacional de implantacao do isps code garantindo que a monitoracao fiscalizacao e controle dos meios de acesso as areas primarias e secundarias estao adequados as exigencias internacionais de seguranca portuaria"
"paragrafo17","no segundo semestre de 2018 o governo federal realizou a compra das acoes dos acionistas minoritarios da codesp buscando a nacionalizacao da empresa este processo foi concluido com sucesso porem a codesp permanece como sociedade de economia mista uma vez que a prefeitura de santos e detentora de uma pequena parcela de acoes da empresa e a legislacao atual nao permite a negociacao de acoes entre diferentes esferas de governo"
"paragrafo18","a partir de outubro de 2019 a codesp iniciou um processo de remodelagem de sua marca passando a adotar o nome fantasia santos port authority spa em marco de 2020 a empresa alterou tambem sua razao social para autoridade portuaria de santos"
"paragrafo20","em 18 de outubro de 2013 ocorreu o pior incendio da historia do porto ate aquela data as chamas se iniciaram no sistema de esteiras de transporte de dois armazens de acucar da empresa copersucar deixando quatro trabalhadores feridos e queimando cerca de 180 mil toneladas de acucar foram necessarios dez caminhoes do corpo de bombeiros um caminhao da petrobras dois carros da guarda portuaria um helicoptero aguia da policia militar e uma equipe vindo de sao paulo para combater o fogo o acucar carbonizado junto com a agua utilizada no combate ao incendio atingiram o estuario de santos contaminando as aguas e matando milhares de peixes"
"paragrafo21","no ano seguinte dia 03 de agosto de 2014 um incendio de grandes proporcoes atingiu outro armazem de acucar no porto de santos o armazem x terminal 19 operado pela rumo logistica do grupo cosan tinha capacidade para estocar 18 mil toneladas de acucar sendo que 15 mil toneladas estavam armazenadas e foram completamente destruidas pelas chamas as chamas iniciadas pela tarde so foram extintas na madrugada do dia seguinte apos a atuacao de doze caminhoes do corpo de bombeiros cerca de 100 funcionarios trabalhavam no local durante o acidente mas ninguem foi ferido"
"paragrafo22","cerca de dois meses depois no dia 20 de outubro de 2014 outro incendio destruiu um armazem inteiro de acucar da empresa cargill na margem esquerda do porto de santos no guaruja as chamas foram controladas pelos bombeiros antes de atingirem outro armazem nenhuma pessoa foi ferida no acidente"
